,match_id,match_type,date,p1_id,p1_name,p1_club,p1_rank,p1_sets,p1_home,p1_points_gained,p2_id,p2_name,p2_club,p2_rank,p2_sets,p2_home,p2_points_gained,winner_id,p1_prevwins,p2_prevwins,p1_form,p2_form,p1_win,p2_win,points_diff,diff_win,diff_positive
0,286499,ליגת על גברים 2021-2022,2021-12-28,745,יונתן שוסטרמן,מ. בני הרצליה,1778.3,2,0.0,-21.0,741,גל פרפל,הישגי כרמיאל,1430.4,3,1.0,31.5,741,16,0,7.5,24.5,0,1,347.89999999999986,-1,1
1,282431,ליגת על גברים 2021-2022,2021-12-14,745,יונתן שוסטרמן,מ. בני הרצליה,1778.3,3,1.0,4.5,685,יניב קרמזין,כרמל מרכזי טניס שולחן חיפה,1412.8,0,0.0,-3.0,745,6,0,-12.0,16.5,1,0,365.5,1,1
2,282435,ליגת על גברים 2021-2022,2021-12-14,745,יונתן שוסטרמן,מ. בני הרצליה,1778.3,3,1.0,3.0,2625,איתי שושן,כרמל מרכזי טניס שולחן חיפה,1350.0,0,0.0,-2.0,745,3,0,-10.5,8.5,1,0,428.29999999999995,1,1
3,281142,ליגת על גברים 2021-2022,2021-12-07,745,יונתן שוסטרמן,מ. בני הרצליה,1778.3,3,1.0,1.5,892,אדי ישראלי,הפועל חיפה,1099.8,0,0.0,-1.0,745,2,0,-16.5,0.0,1,0,678.5,1,1
4,281146,ליגת על גברים 2021-2022,2021-12-07,745,יונתן שוסטרמן,מ. בני הרצליה,1778.3,0,1.0,-18.0,2284,איתי אביבי,הפועל חיפה,1522.8,3,0.0,27.0,2284,0,0,3.0,10.4,0,1,255.5,-1,1
5,279390,ליגת על גברים 2021-2022,2021-11-30,745,יונתן שוסטרמן,מ. בני הרצליה,1775.3,3,1.0,1.5,624,עידן טרוסמן,אליצור קריית אתא,1200.4,0,0.0,-1.0,745,0,0,0.0,-14.0,1,0,574.8999999999999,1,1
6,279394,ליגת על גברים 2021-2022,2021-11-30,745,יונתן שוסטרמן,מ. בני הרצליה,1775.3,3,1.0,0.0,2629,אלכסנדר שפירו,אליצור קריית אתא,747.8,0,0.0,-0.0,745,0,0,1.5,22.5,1,0,1027.5,1,1
7,275334,ליגת על גברים 2021-2022,2021-11-02,745,יונתן שוסטרמן,מ. בני הרצליה,1775.3,3,1.0,1.5,1992,שחר כרמון,מכבי תל אביב,1154.2,0,0.0,-1.0,745,2,0,3.0,31.5,1,0,621.0999999999999,1,1
8,273863,ליגת על גברים 2021-2022,2021-10-19,745,יונתן שוסטרמן,מ. בני הרצליה,1764.8,3,0.0,0.0,801,איתמר אברמוב,מכבי זאב זכרון יעקב,0.0,2,1.0,-0.0,745,0,0,10.5,0.0,1,0,1764.8,1,1
9,273866,ליגת על גברים 2021-2022,2021-10-19,745,יונתן שוסטרמן,מ. בני הרצליה,1764.8,3,0.0,3.0,2620,אורי אלמור,מכבי זאב זכרון יעקב,1338.7,0,1.0,-2.0,745,2,0,7.5,-6.0,1,0,426.0999999999999,1,1
10,272295,ליגת על גברים 2021-2022,2021-10-05,745,יונתן שוסטרמן,מ. בני הרצליה,1764.8,3,1.0,3.0,891,אוהד פניאל,הפועל עירוני נוף הגליל,1308.1,0,0.0,-2.0,745,5,2,4.5,18.0,1,0,456.70000000000005,1,1
11,272299,ליגת על גברים 2021-2022,2021-10-05,745,יונתן שוסטרמן,מ. בני הרצליה,1764.8,3,1.0,4.5,676,עמית גורן,הפועל עירוני נוף הגליל,1460.5,1,0.0,-3.0,745,8,1,3.0,-2.8,1,0,304.29999999999995,1,1
12,265300,אליפות ישראל 2021,2021-07-09,745,יונתן שוסטרמן,מ. בני הרצליה,1730.8,4,,14.0,853,מיכאל טאובר,עירוני גבעתיים,1665.8,1,,-7.0,745,4,11,20.0,32.0,1,0,65.0,1,1
13,265298,אליפות ישראל 2021,2021-07-09,745,יונתן שוסטרמן,מ. בני הרצליה,1730.8,4,,12.0,651,טל ישראלי,הפועל חיפה,1628.4,1,,-6.0,745,2,0,22.0,44.0,1,0,102.39999999999986,1,1
14,265294,אליפות ישראל 2021,2021-07-09,745,יונתן שוסטרמן,מ. בני הרצליה,1730.8,4,,4.0,862,עידן אוגורצב,מכבי תל אביב,1307.3,1,,-2.0,745,7,2,30.0,70.0,1,0,423.5,1,1
15,265286,אליפות ישראל 2021,2021-07-09,745,יונתן שוסטרמן,מ. בני הרצליה,1730.8,3,,4.0,2620,אורי אלמור,מכבי זאב זכרון יעקב,1304.3,0,,-2.0,745,1,0,30.0,40.28,1,0,426.5,1,1
